"","Title","Abstract"
"59","JHDM1D-AS1 aggravates the development of gastric cancer through miR-450a-2-3p-PRAF2 axis.","                 Label=""AIMS"" NlmCategory=""OBJECTIVE"":To investigate the molecular function and mechanisms of JHDM1D antisense 1 (JHDM1D-AS1) during gastric cancer (GC) progression.                 Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"":The qPCR assay was used to detect the JHDM1D-AS1 and miR-450a-2-3p expression levels in GC tissues and cell lines. Bioinformatics analysis was used for exploring the lncRNA-microRNA-mRNA interaction network. We performed dual-luciferase reporter assay and qPCR assay in order to validate the direct interactions. We explored the JHDM1D-AS1 and miR-450a-2-3p on GC progression by using JHDM1D-AS1 siRNA and miR-450a-2-3p inhibitor; in vitro CCK-8 assay, colony formation assay, and invasion assay were conducted. Further, in vivo animal experiments were performed, and the expression levels of miR-450a-2-3p and PRAF2 in the tumor tissues were detected using qPCR and western blot analysis.                 Label=""KEY FINDINGS"" NlmCategory=""RESULTS"":The expression levels of JHDM1D-AS1 and miR-450a-2-3p in GC tissues and cell lines were higher and lower as compared to those in the corresponding normal controls, respectively. Moreover, high levels of JHDM1D-AS1 were closely related with metastasis and the GC TNM stage. Functionally, JHDM1D-AS1 depletion caused an obvious reduction in cell proliferation and invasion both in vitro and in vivo, while the addition of miR-450a-2-3p inhibitor could nullify these effects. Mechanically, JHDM1D-AS1 promoted GC progression via the sponging of miR-450a-2-3p in order to increase PRAF2 expression.                 Label=""SIGNIFICANCE"" NlmCategory=""CONCLUSIONS"":The present results showed that the increased expression of JHDM1D-AS1 was closely associated with tumor progression of GC. JHDM1D-AS1/miR-450a-2-3p/PRAF2 axis may be a promising target for GC treatment. "
"60","Investigating the performance of a novel pH and cathepsin B sensitive, stimulus-responsive nanoparticle for optimised sonodynamic therapy in prostate cancer.","Nano-formulations that are responsive to tumour-related and externally-applied stimuli can offer improved, site-specific antitumor effects, and can improve the efficacy of conventional therapeutic agents. Here, we describe the performance of a novel stimulus-responsive nanoparticulate platform for the targeted treatment of prostate cancer using sonodynamic therapy (SDT). The nanoparticles were prepared by self-assembly of poly(L-glutamic acid-L-tyrosine) co-polymer with hematoporphyrin. The nanoparticulate formulation was characterized with respect to particle size, morphology, surface charge and singlet oxygen production during ultrasound exposure. The response of the formulation to the presence of cathepsin B, a proteolytic enzyme that is overexpressed and secreted in the tumour microenvironment of many solid tumours, was assessed. Our results showed that digestion with cathepsin B led to nanoparticle size reduction. In the absence of ultrasound, the formulation exhibited greater toxicity at acidic pH than at physiological pH, using the human prostate cells lines LNCaP and PC3 as targets. Nanoparticle cellular uptake was enhanced at acidic pH - a condition that was also associated with greater cathepsin B production. Nanoparticles exhibited enhanced ultrasound-induced cytotoxicity against both prostate cancer cell lines. Subsequent proof-of-concept in vivo studies demonstrated that, when ectopic human xenograft LNCaP tumours in SCID mice were treated with SDT using the systemically-administered nanoparticulate formulation at a single dose, tumour volumes decreased by up to 64% within 24 h. No adverse effects were observed in the nanoparticle-treated mice and their body weight remained stable. The potential of this novel formulation to deliver safe and effective treatment of prostate cancer is discussed."
"61","A case-control study to identify molecular risk factors for local recurrence in young breast cancer patients.",""
"62","Pattern of failure in IDH mutated, low grade glioma after radiotherapy - implications for margin reduction.",""
"63","Development and validation of a novel prognostic score for elderly head-and-neck cancer patients undergoing radiotherapy or chemoradiation.","                 Label=""BACKGROUND AND PURPOSE"" NlmCategory=""OBJECTIVE"":To establish a clinically feasible prognostic score and nomogram based on easily accessible clinical data that will aid decision-making in elderly head-and-neck squamous cell carcinoma (HNSCC) patients undergoing (chemo)radiotherapy.                 Label=""MATERIAL AND METHODS"" NlmCategory=""METHODS"":284 elderly HNSCC patients (≥65 years) undergoing curative (chemo)radiotherapy were included for the development of a score predicting overall survival (OS) based on the beta regression coefficients from significant parameters in a multivariate Cox regression analysis with p&lt;0.1 as inclusion criterion. A second, external cohort of 217 elderly HNSCC patients receiving (chemo)radiotherapy was used for validation. Using the aggregated data (n=501), a nomogram was developed to predict 2- and 4-year OS.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Karnofsky Performance Status (HR=2.654; p&lt;0.001), Charlson Comorbidity Index (HR=2.598; p&lt;0.001) and baseline C-reactive protein (CRP) level (HR=1.634; p=0.068) were prognostic for OS in the multivariate analysis. An OS score based on beta regression coefficients was created, in which reduced performance status, increased comorbidity burden and increased CRP levels were included, leading to 3 distinct survival groups. The median OS for the 3 groups amounted to 107, 28 and 6 months, respectively (p&lt;0.001). The developed score was able to significantly differentiate between a favorable (median OS=130 months), intermediate (29 months) and unfavorable prognosis (9 months) also in the external validation cohort (p=0.005).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":We propose a novel, validated prognostic score based on easily accessible clinical data allowing stratification between prognostic groups of elderly HNSCC patients receiving (chemo)radiotherapy. The nomogram for the prediction of 2-year and 4-year OS may aid decision-making for this vulnerable population. "
"64","Idiopathic Pulmonary Fibrosis: Current Knowledge, Future Perspectives And Its Importance In Radiation Oncology.","Idiopathic pulmonary fibrosis (IPF) is a progressive, fibrotic lung disease with an unknown cause. Uncertainties still remain regarding the pathogenesis of IPF, and the prognosis of this disease is poor despite some recent improvements in treatment. Radiation induced lung injury (RILI) is a common complication and a dose-limiting toxicity of thoracic radiotherapy. Importantly, IPF is a crucial risk factor for pulmonary toxicity after thoracic radiotherapy. Although IPF is not universally accepted as a definite contraindication for thoracic radiotherapy at present, it has been shown that IPF can increase the risk of severe and fatal complications after thoracic radiotherapy. Proton beam therapy has shown promising results in reducing the incidence of thoracic radiotherapy related life-threatening complications in IPF patients, but the current evidence is not sufficient to recommend the standard use of it. Many similarities are noticeable between IPF and RILI in terms of pathogenesis and underlying mechanisms. Better understanding of the mechanisms of IPF and RILI may enable clinicians to provide safer and more effective thoracic radiotherapy treatments in cancer patients with IPF. In this review, we summarize the current knowledge of IPF, present the importance of IPF in radiation oncology practice, and highlight the similarities and relationship between IPF and RILI."
"65","SARS-CoV-2 (COVID-19) Superspreader Events.","                 Label=""BACKGROUND &amp; OBJECTIVES"" NlmCategory=""OBJECTIVE"":A significant number of reported COVID-19 cases can be traced back to superspreader events (SSEs), where a disproportionally large number of secondary cases relative to the standard reproductive rate, R0, are initiated. Although a superspreader is an individual who undergoes more viral shedding and transmission than others, it appears likely that environmental factors have a substantial role in SSEs. We categorise SSEs into two distinct groups: 'societal' and 'isolated' SSEs.                 Label=""METHODS"" NlmCategory=""METHODS"":We summarise SSEs that have occurred using multiple databases that have been cross referenced to ensure numbers are as reliable as we can ascertain. This enables more focussed and productive control of the current pandemic and future pandemics, especially as countries and regions ease lockdown restrictions.                 Label=""RESULTS AND DISCUSSION"" NlmCategory=""CONCLUSIONS"":'Societal' SSEs pose a significant threat as members of the event are free to mingle and can infect individuals in the outside community. On the other hand, 'isolated' SSEs can be effectively quarantined as only a few individuals can transmit the virus from the isolated community to the outside community, therefore lowering further societal infection. "
"66","Screening is associated with a lower risk of hepatocellular carcinoma-related mortality in patients with chronic hepatitis B.","                 Label=""BACKGROUND AND AIMS"" NlmCategory=""OBJECTIVE"":Patients with chronic hepatitis B (CHB) infection routinely undergo screening for hepatocellular carcinoma (HCC), but the efficacy of screening remains unclear. We aimed to evaluate the impact of screening with ultrasound (USS) and/or serum alpha-fetoprotein (AFP) on HCC-related mortality in patients with CHB.                 Label=""METHODS"" NlmCategory=""METHODS"":We performed a matched case-control study of patients with CHB receiving care through the Veterans Affairs (VA) health administration. Cases were patients who died of HCC between 01/01/2004 and 12/31/2017, while controls were patients with CHB who did not die of HCC. Cases were matched to controls by CHB diagnosis date, age, sex, race/ethnicity, cirrhosis, antiviral therapy exposure, hepatitis B e antigen status, and viral load. We identified screening USS and AFPs obtained in the 4 years preceding HCC diagnosis in cases and the equivalent index date in controls. Using conditional logistic regression, we compared cases and controls with respect to receipt of screening. A lower likelihood of screening in cases corresponds to an association between screening and reduced risk of HCC-related mortality.                 Label=""RESULTS"" NlmCategory=""RESULTS"":We identified 169 cases, matched to 169 controls. Fewer cases than controls underwent screening with either screening modality (33.7% versus 58.6%) or both modalities (19.5% versus 34.4%). In multivariable conditional logistic regression, screening with either modality was associated with a lower risk of HCC-related mortality (adjusted odds ratio [aOR] 0.21, 95% confidence interval [CI] 0.09-0.50), as was screening with both modalities (aOR of 0.13, 95% CI 0.04-0.43).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":HCC screening was associated with a substantial reduction in HCC-related mortality in VA patients with CHB. "
"67","2020 update on sunscreen compliance with American Academy of Dermatology recommendations.",""
"68","The alkaloid, soyauxinium chloride, displays remarkable cytotoxic effects towards a panel of cancer cells, inducing apoptosis, ferroptosis and necroptosis.","The cytotoxic potential of a naturally occurring indoloquinazoline alkaloid, soyauxinium chloride (SCHL), was determined on a broad panel of animal and human cancer cell lines, including various sensitive and drug-resistant phenotypes. The cytotoxicity, SCHL-induced autophagic, ferroptotic, and necroptotic cell death were evaluated by the resazurin reduction assay (RRA). Caspase-Glo assay was used to detect the activity of caspases using spectrophotometric analysis. Flow cytometry was applied for cell cycle analysis (PI staining), apoptosis (annexin V/PI staining), mitochondrial membrane potential (MMP) (JC-1) and reactive oxygen species (ROS) (H2DCFH-DA). SCHL and doxorubicin (reference molecule) exhibited cytotoxic effects towards the 18 cancer cell lines tested. The IC50 values obtained ranged from 3.64 μM (towards CCRF-CEM leukemia cells) to 16.86 μM (against the BRAF-wildtype SKMel-505 melanoma cells for SCHL). Collateral sensitivity of the resistant HCT116 p53-/- colon adenocarcinoma cells to SCHL was observed as well as the normal sensitivity of CEM/ADR5000 leukemia cells, MDA-MB-231-BCRP breast adenocarcinoma cells and U87. MGΔEGFR glioblastoma cells. SCHL induced apoptosis in CCRF-CEM cells via caspases 3/7-, 8- and 9-activation, MMP alteration and increased ROS production, and otherwise ferroptosis and necroptosis. SCHL is a prominent cytotoxic alkaloid that should be further studied to develop a novel drug to combat cancers including refractory phenotypes."
"69","Immunosuppressive role of Benzo[a]pyrene in induction of lung cancer in mice.","                 Label=""AIM"" NlmCategory=""OBJECTIVE"":Benzo[a]pyrene [BP] is one of the major carcinogenic precursors of cigarette smoke that primary affects the lung at its first proximity. The goal of the current research was to elucidate new mechanisms underlying the tumorigenic impact of oral BP in the lung of mice, with focus on immunosuppressive effects and cancer stemming properties.                 Label=""METHODS"" NlmCategory=""METHODS"":Female albino mice (n = 44) were divided into 2 groups: normal control and BP group. BP was administered orally to mice (50 mg/kg body weight), twice a week for four weeks in succession. At the end of experiment (22 weeks), gene expression were measured for transforming growth factor-β (TGF-β), cytotoxic T lymphocyte antigen-4 (CTLA-4), programmed death ligand 1(PD-L1), forkhead box protein P3 (FOXP3) and interleukin 12 (IL-12) and CD83+, CD8+ and CD166+ cell percentage were measured in lung tissue.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The results indicated the tumorigenic role of BP in the lung which was evidenced by histopathological examination. BP group also showed immunosuppressive role which evidenced by increased expression of lung TGF-β, CTLA-4, PD-L1, FOXP3 genes and decreased expression of lung IL-12 gene compared with normal control group. BP group also showed decreased CD83+ cells, CD8+ cells and increased number of CD166+ cells.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Our findings indicated that BP has immunosuppressive role in lung cancer besides increasing the percentage of cancer stem like cells. "
"70","Combined 3-O-acetylbetulin treatment and carbonic anhydrase IX inhibition results in additive effects on human breast cancer cells.","Hypoxia plays a key role in tumor progression and resistance to radiotherapy. Expression of the transmembrane-tethered enzyme carbonic anhydrase IX (CA IX) is strongly induced by hypoxia. High CA IX expression levels correlate with poor prognosis in cancer patients. Previously, we showed that the downregulation of CA IX expression by siRNA interference and the inhibition of CA IX activity results in increased cytotoxicity, inhibition of migration and radiosensitization of hypoxic cancer cells. Betulinic acid (BA) is a natural compound derived from birch bark. It has shown promising anti-tumor effects due to its cancer cell specific cytotoxic properties. We have shown that BA inhibits the HIF-1α pathway, resulting in apoptosis, inhibition of migration and enhanced cytotoxicity of breast cancer cells. In this study, we investigate the effects of the novel betulin derivative 3-O-acetylbetulin (3-AC) and carbonic anhydrase inhibitors (CAI) octyl disulfamate (OCT) or 4-(3-[4-fluorophenyl]ureido)benzenesulfonamide (SLC-0111), on cellular and radiobiological parameters in MDA-MB-231 and MCF-7 cells. Treatment with 3-AC or OCT alone only caused moderate cytotoxicity, reduction in cell migration, ROS production and DNA damage. However, the combined treatment with 3-AC and CAI strongly enhanced radiosensitivity, increased cytotoxicity, inhibited cell motility and enhanced DNA damage. Our findings suggest that the combination of two bioactive drugs 3-AC and a CAI, such as OCT or SLC-0111, could be a promising therapeutic approach for targeting hypoxic tumor cells."
"71","Investigating liver masses in young adults.",""
"72","Back to Basics: Parathyroid Adenoma Disguising as &quot;CRAB&quot;.",""
"73","Challenges in the Development, Deployment &amp; Regulation of Artificial Intelligence (AI) in Anatomical Pathology.","Artificial intelligence (AI), deep learning, and other machine learning approaches have made significant advances in recent years, finding applications in almost every industry, including healthcare. AI has proven to be capable of a spectrum of mundane to complex medically oriented tasks previously only performed by boarded physicians, most recently assisting detection of difficult-to-find cancer on histopathology slides. Although computers will not replace pathologists anytime soon, properly designed AI-based tools hold great potential to increase workflow efficiency and diagnostic accuracy in the practice of pathology. Recent trends, such as data augmentation, crowd-sourcing to generate annotated datasets, and unsupervised learning with molecular and/or clinical outcomes versus human diagnoses as a source of ground truth, are eliminating the direct role for pathologists in algorithm development. Proper integration of AI-based systems into anatomical pathology practice will necessarily require fully digital imaging platforms, an overhaul of legacy information technology infrastructures, modification of laboratory/pathologist workflows, appropriate reimbursement/cost-offsetting models, and ultimately, active participation of pathologists to encourage buy-in and oversight. Regulations tailored to the nature and limitations of AI are currently in development and, when instituted, should promote safe and effective use. This review addresses the challenges in AI development, deployment and regulation to be overcome prior to its widespread adoption in anatomical pathology."
"74","Long non-coding RNA HCP5 in cancer.","Cancer remains a major threat to human health worldwide. Long non-coding RNA (lncRNA) comprise a group of single-stranded RNA with lengths longer than 200 bp. LncRNAs are aberrantly expressed and play a variety of roles involving multiple cellular processes in cancer. Histocompatibility leukocyte antigen complex P5 (HCP5), initially reported in 1993, is an important lncRNA located between the MICA and MICB genes in MHC I region. HCP5 is involved many autoimmune diseases as well as malignancy. Abnormal HCP5 expression occurs in many types of cancer and its dysregulation appears closely associated with progression. HCP5 is also involved in anti-tumor drug resistance as well. As such, HCP5 represents a promising biomarker and therapeutic target in cancer. In this review, we summarize recent research and provide an overview of the role and mechanism of HCP5 in human cancer."
"75","Characterization, source apportionment, air/plant partitioning and cancer risk assessment of atmospheric PAHs measured with tree components and passive air sampler.","In this study, ambient air and olive tree components (leaf and branch) were simultaneously collected and analyzed for polycyclic aromatic hydrocarbons (PAHs) to investigate their levels and accumulations, temporal variations, possible sources, air-plant partitioning and cancer risks for 12 months. During the sampling period, total of 14 PAH (∑14PAH) concentrations measured in the olive leaves (dissolved and particle phase) and braches (1- and 2-year-old) were 593±472, 81±67, 558±273 and 316±213 ng/g dry weight (DW), respectively. Similarly, the average ∑14PAH concentrations measured in the ambient air was found to be 15±16 ng/m3. Generally, 4-, 5- and 6- ring PAHs were the dominant groups for all tree components, while 2- and 3-ring PAHs were predominant in the air samples. Ring distributions and molecular diagnosis ratios were employed to determine PAH sources in the sampling site. Petroleum and combustion-related sources were found to be important. The Pearson correlation coefficient was allowed to figure out the affinity between PAH levels in the sampling materials and meteorological factors. Temperature and mixing layer height were found to be effective factors on the concentrations. Atmospheric PAH levels were also predicted to employ a bark-air exchange model for determining the PAH movement direction. The predicted/measured ratios were above 1.0. This was probably due to utilizing the branch values rather than bark values in the model. Finally, the risk of cancer has been evaluated. The calculated cancer risks via inhalation were at low levels for adults and children."
"76","Effects of fetuin-A with diverse functions and multiple mechanisms on human health.","Fetuin-A (Alfa 2-Heremans-Schmid) is a glycoprotein that is mainly synthesized by hepatocytes and then released into the bloodstream. While fetuin-A, a multifunctional protein, has inhibitory effects on health in the processes of calcification, mineralization, coronary artery calcification (CAC), and kidney stone formation by various mechanisms, it has such stimulatory effects as obesity, diabetes, and tumor progression processes. Fetuin-A produces these effects on the organism mainly by playing a role in the secretion levels of some inflammatory cytokines and exosomes, preventing unwanted calcification, inhibiting the autophosphorylation of tyrosine kinase, suppressing the release of adiponectin and peroxisome proliferator-activated receptor-γ (PPARγ), activating the toll-like receptor 4 (TLR-4), triggering the phosphatidylinositol 3 (PI3) kinase/Akt signaling pathway and cell proliferation, and mimicking the transforming growth factor-beta (TGF-β) receptor. In the present review, fetuin-A was examined in a wide perspective from the structure and release of fetuin-A to its effects on health."
"77","Missense variants in the N-terminal domain of the A isoform of FHF2/FGF13 cause an X-linked developmental and epileptic encephalopathy.","Fibroblast growth factor homologous factors (FHFs) are intracellular proteins which regulate voltage-gated sodium (Nav) channels in the brain and other tissues. FHF dysfunction has been linked to neurological disorders including epilepsy. Here, we describe two sibling pairs and three unrelated males who presented in infancy with intractable focal seizures and severe developmental delay. Whole-exome sequencing identified hemi- and heterozygous variants in the N-terminal domain of the A isoform of FHF2 (FHF2A). The X-linked FHF2 gene (also known as FGF13) has alternative first exons which produce multiple protein isoforms that differ in their N-terminal sequence. The variants were located at highly conserved residues in the FHF2A inactivation particle that competes with the intrinsic fast inactivation mechanism of Nav channels. Functional characterization of mutant FHF2A co-expressed with wild-type Nav1.6 (SCN8A) revealed that mutant FHF2A proteins lost the ability to induce rapid-onset, long-term blockade of the channel while retaining pro-excitatory properties. These gain-of-function effects are likely to increase neuronal excitability consistent with the epileptic potential of FHF2 variants. Our findings demonstrate that FHF2 variants are a cause of infantile-onset developmental and epileptic encephalopathy and underline the critical role of the FHF2A isoform in regulating Nav channel function."
"78","Integrative Imaging Reveals SARS-CoV-2-Induced Reshaping of Subcellular Morphologies.","Pathogenesis induced by SARS-CoV-2 is thought to result from both an inflammation-dominated cytokine response and virus-induced cell perturbation causing cell death. Here, we employ an integrative imaging analysis to determine morphological organelle alterations induced in SARS-CoV-2-infected human lung epithelial cells. We report 3D electron microscopy reconstructions of whole cells and subcellular compartments, revealing extensive fragmentation of the Golgi apparatus, alteration of the mitochondrial network and recruitment of peroxisomes to viral replication organelles formed by clusters of double-membrane vesicles (DMVs). These are tethered to the endoplasmic reticulum, providing insights into DMV biogenesis and spatial coordination of SARS-CoV-2 replication. Live cell imaging combined with an infection sensor reveals profound remodeling of cytoskeleton elements. Pharmacological inhibition of their dynamics suppresses SARS-CoV-2 replication. We thus report insights into virus-induced cytopathic effects and provide alongside a comprehensive publicly available repository of 3D datasets of SARS-CoV-2-infected cells for download and smooth online visualization."
"79","Does oncological outcome differ between restorative and non-restorative low anterior resection in patients with primary rectal cancer?","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":Non-restorative low anterior resection (n-rLAR) (aka Low Hartmans) is performed for rectal cancer when a poor functional outcome is anticipated or there have been problems when constructing the anastomosis . . When compared to restorative LAR (rLAR), there is little oncological outcome data. e The aim of this study was to compare oncological outcomes between rLAR and n-rLAR for primary rectal cancer.                 Label=""METHODS"" NlmCategory=""METHODS"":This was a nationwide cross-sectional comparative study including all elective sphincter saving LAR procedures for non-metastatic primary rectal cancer performed in 2011 in 71 Dutch hospitals. Oncological outcomes of patients undergoing rLAR and n-rLAR were collected in 2015 and assessed using Kaplan-Meier analysis and compared using log-rank test. Uni- and multivariable cox regression analysis was used to evaluate the association between type of LAR and oncological outcome measures.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 1197 patients were analyzed, of which 892 underwent rLAR (75%) and 305 (25%) n-rLAR. Three-year local recurrence rate was 3% after rLAR and 8% after n-rLAR (P&lt;0.001). The 3-year disease-free survival and overall survival for rLAR versus n-rLAR were 77% vs. 62% (P&lt;0.001) and 90% vs. 75% (P&lt;0.001), respectively. In multivariable cox analysis, n-rLAR was independently associated with higher risk of local recurrence (odds ratio 2.95) and worse overall survival (odds ratio 1.72).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":This nationwide study revealed that n-rLAR for rectal cancer was associated with poorer oncological outcome than restorative LAR. This is likely a non-causal relationship, and might reflect technical difficulties during low pelvic dissection in a subset of those patients, with oncological implications. "
"80","Management of inflammatory bowel disease-associated colonic dysplasia: factors predictive of patient choice and satisfaction.","                 Label=""AIMS"" NlmCategory=""OBJECTIVE"":In cases of prognostic uncertainty and equipoise as to the best management (prophylactic colectomy vs. surveillance) for dysplasia in inflammatory bowel disease (IBD), individualised discussion with the patient is required. Further understanding of patients' preferences is needed.                 Label=""METHODS"" NlmCategory=""METHODS"":A nationwide cross-sectional survey was distributed to adult IBD patients who had never been diagnosed with dysplasia (dysplasia-naïve) and those who had (dysplasia-experienced). Risk perceptions and factors that influence management choices were explored.                 Label=""RESULTS"" NlmCategory=""RESULTS"":There were 123 respondents. A substantial proportion (29%) of the dysplasia-experienced respondents did not feel well informed about the associated cancer risk and/or its management by their clinical team. Contributing themes included: contradictory advice and lack of personalised information regarding their cancer risk, alternative management options and impact on long-term quality of life. Decisional regret and health-related quality of life amongst those who chose either surveillance or surgery were comparable, but cancer-related worry scores were elevated in the surveillance group. The dysplasia-naïve respondents reported that they would only consider having a prophylactic colectomy if they had on average a 50% or even higher risk of developing cancer. On multivariable logistic regression analyses, predictors of colectomy or surveillance preference included ethnicity, personality traits such as health locus of control (whether health status is influenced by luck) and differences in perception of what a 'low' risk of cancer is.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":This study identifies predictive factors that can influence decision-making and satisfaction with the counselling process when IBD dysplasia is diagnosed. Further qualitative exploration of cultural themes would be informative. "
"81","Pediatric HCT in Florida (2014 -2016): A report from the FPBCC.","FPBCC was formed in 2018 by five pediatric transplant programs in Florida. One of the key objectives of the consortium is to provide outcome analyses by combining HCT data from all the participating centers in order to identify areas for improvement. In this first FPBCC landscape report we describe the patient and transplant characteristics of pediatric patients undergoing first allo and auto HCT between 2014 and 2016 in Florida. The source of data was eDBtC of the CIBMTR. Over the span of 3 years, a total of 230 pediatric patients underwent allo-HCT and 104 underwent auto-HCT at the participating centers. The most significant predictor of survival in allo-HCT recipients with malignant disorders was the degree of HLA- match, while in the recipients of allo-HCT with non-malignant disorders the predictors of survival included age, donor relationship and degree of HLA match. Our analyses identified the need to improve reporting of primary cause of death and improve on donor selection process given that the degree of HLA match remains the most important predictor of survival. This first FPBCC-wide review describes the trends in pediatric HCT activity between 2014 and 2016 among the participating centers in Florida and confirms feasibility of using eDBtC data platform and collaborative approach in order to identify areas for improvement in outcomes."
"82","Comparison of bypassing agents in patients on emicizumab using global hemostasis assays.","                 Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"":Emicizumab is a humanized bispecific monoclonal antibody licensed for patients with severe haemophilia A with and without inhibitors. Management of breakthrough bleeding in patients with inhibitors on emicizumab involves episodic treatment with bypassing agents (BPA), activated prothrombin complex concentrate (aPCC) or recombinant activated factor VII (rFVIIa). Thrombotic events and thrombotic microangiopathy were reported when patients on emicizumab received concomitant aPCC at relatively high doses yet such events were not reported with rFVIIa. We studied the effect of spiking various concentrations of BPA on plasma taken from patients on emicizumab.                 Label=""MATERIAL AND METHODS"" NlmCategory=""METHODS"":Eleven patients with severe haemophilia A with inhibitors who are on emicizumab were recruited to participate. Blood samples drawn from patients were spiked in vitro with varying concentrations of aPCC and rFVIIa. All samples were tested utilizing global haemostasis assays, thromboelastography and thrombin generation assay.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Thrombin generation increased with higher concentrations of spiked BPA with a normalized endogenous thrombin potential at a concentration of 0.05 IU/ml and 4 mcg/ml for aPCC and rFVIIa, respectively. Concentrations of aPCC in the range of licensed dosing led to excessive thrombin generation. Thromboelastography was not sufficiently sensitive.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Due to the known thrombotic complications when emicizumab is used in conjunction with aPCC, there has been a large-scale abandonment of the use of aPCC in patients on emicizumab. However, it is possible that aPCC can be used safely with emicizumab albeit with lower doses than are typically prescribed. It would be important to test this hypothesis in a clinical study. "
"83","Gut microbiome is more stable in males than in females during the development of colorectal cancer.","                 Label=""AIMS"" NlmCategory=""OBJECTIVE"":Gut microbial alterations have great potential to predict the development of colorectal cancer (CRC); however, how gut microbes respond to the development of CRC in males and females at the community level is unknown. We aim to investigate the differences of gut microbiota between the male and female.                 Label=""METHODS AND RESULTS"" NlmCategory=""RESULTS"":We reanalyzed the dataset in a published project from a sex perspective at the community level by characterizing the gut microbiome in patients (including males and females) from three clinical groups representative of the stages of CRC development: healthy, adenoma, and carcinoma. The results indicated that the microbial α-diversity showed no significant difference in the male gut but had decreased significantly in the female gut with the development of CRC. In males, a significant difference in the microbial β-diversity was only observed between the healthy and carcinoma subgroups. However, significant community deviations were detected with the development of CRC in females. The microbial community assembly processes changed from deterministic to stochastic in males, whereas they became increasingly deterministic in females with the development of CRC. Moreover, microbial co-occurrence associations tended to be more complicated in males; rare species were enriched in the co-occurrence network of the male gut, whereas key species loss was observed in the co-occurrence network of the female gut.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":The microbial communities in the male gut were more stable than those in the female gut, and microbial community assembly in the gut was sex dependent with the development of CRC. Our study suggests that sexual dimorphism needs to be considered to better predict the risk of CRC based on microbial shifts.                 Label=""SIGNIFICANCE AND IMPACT OF THE STUDY"" NlmCategory=""CONCLUSIONS"":To our knowledge, this is the first report showing how gut microbes respond to the development of colorectal cancer in males and females at the community scale. "
"84","From basic research to clinical application of γδ T cells.",""
"85","Feasibility and accuracy of pathological diagnosis in en bloc resection versus conventional transurethral resection of bladder tumor: Evaluation with pT1 sub-staging by 10 pathologists.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":En bloc transurethral resection (TUR) of bladder tumor (ERBT) is designed to provide more accurate pathological diagnosis of specimens than conventional TUR of bladder tumors (cTURBT). Some studies have reported that T1 bladder cancer sub-staging could be a prognostic factor in assessing tumor progression, but such sub-staging has not been widely adopted because of problems with pathological diagnosis using cTURBT specimens. Our study assembled a panel of 10 pathologists to evaluate the possible advantages of en bloc TUR specimens in T1 sub-staging.                 Label=""PATIENTS AND METHODS"" NlmCategory=""METHODS"":We assessed the sub-stages in 123 patients (cTURBT: n=91; ERBT: n=32) who were diagnosed with pT1 bladder cancer. We randomly selected 10 ERBT specimens and 10 cTURBT specimens with cancer invasion area equivalent to their corresponding ERBT specimen. Ten pathologists diagnosed pT1 sub-staging for pT1a/b/c and pT1m/e in 20 patients (cTURBT: n=10; ERBT: n=10). We evaluated diagnostic time and rate of diagnostic concordance among these pathologists, comparing cTURBT and ERBT.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Median diagnostic time per slide (IQR) was 87.7s (71.9-109.2) for cTURBT and 54.7s (46.0-59.6) for ERBT (p=0.009). The rate of diagnostic concordance was significantly better for ERBT specimens. At pT1a/b/c, median concordance was 50% for cTURBT and 80% for ERBT (p=0.02), and at pT1m/e, 70% for cTURBT and 90% for ERBT (p=0.05). At pT1a/b/c, the average κ value between the pathologist and the standard diagnosis was 0.04 for cTURBT and 0.47 for ERBT.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":The use of ERBT specimens shortened diagnostic time and minimized inter-observer variability for T1 sub-staging compared with cTURBT specimens. "
